queue_ns,network_ns,total_ns
118,99181,99299
118,96370,96488
197,101987,102184
118,89560,89678
197,97157,97354
177,100154,100331
118,97206,97324
216,93412,93628
118,100449,100567
3263,90483,93746
207,101884,102091
127,93835,93962
177,109992,110169
197,96950,97147
158,102277,102435
187,93383,93570
177,102612,102789
177,99378,99555
118,105584,105702
157,102857,103014
119,94620,94739
187,96882,97069
182,94729,94911
177,99329,99506
167,97127,97294
167,110493,110660
197,100361,100558
187,104744,104931
118,95515,95633
117,95850,95967
128,97736,97864
108,94611,94719
108,94488,94596
108,98120,98228
118,106149,106267
197,97952,98149
128,102291,102419
167,95732,95899
137,94435,94572
129,97264,97393
196,100115,100311
197,92979,93176
2772,105677,108449
187,105490,105677
118,98857,98975
177,102562,102739
177,98729,98906
167,97491,97658
197,89333,89530
168,91594,91762
167,112124,112291
177,97019,97196
128,96478,96606
167,98542,98709
187,94641,94828
138,92164,92302
177,117751,117928
207,97579,97786
177,95633,95810
167,102651,102818
187,95329,95516
167,102493,102660
187,98218,98405
186,99496,99682
196,92361,92557
167,92430,92597
129,98493,98622
108,99751,99859
178,92173,92351
168,103947,104115
119,94227,94346
158,95663,95821
177,95201,95378
138,97511,97649
118,96449,96567
109,97245,97354
172,103535,103707
187,100626,100813
182,114060,114242
178,94208,94386
187,97166,97353
138,94189,94327
119,98650,98769
2555,93010,95565
118,96184,96302
118,97422,97540
109,95043,95152
109,112537,112646
177,97953,98130
128,97618,97746
118,106277,106395
118,87034,87152
138,97049,97187
118,96046,96164
109,97009,97118
119,96989,97108
177,96007,96184
118,97687,97805
108,96882,96990
138,94385,94523
108,97147,97255
119,97746,97865
118,99436,99554
118,96970,97088
119,97146,97265
138,94326,94464
383,97550,97933
157,99614,99771
197,98572,98769
127,97462,97589
128,99142,99270
109,98375,98484
128,100213,100341
196,97099,97295
157,94730,94887
118,94189,94307
156,98425,98581
167,94464,94631
3587,96744,100331
2516,92106,94622
186,110808,110994
207,97117,97324
167,94631,94798
167,95791,95958
128,98523,98651
118,95516,95634
108,98778,98886
118,95988,96106
177,113009,113186
236,169420,169656
197,79732,79929
187,103191,103378
177,103908,104085
108,100862,100970
167,95202,95369
128,95083,95211
108,98710,98818
157,111683,111840
187,99083,99270
167,122562,122729
166,105983,106149
186,65502,65688
118,99634,99752
176,88971,89147
118,102660,102778
177,98660,98837
7577,94307,101884
167,94130,94297
167,93766,93933
108,97934,98042
118,95447,95565
108,99103,99211
167,96971,97138
187,100616,100803
187,95035,95222
167,100370,100537
118,96017,96135
